"PID","practice","trial","run","task","stimulus_duration","iti","is_odd_ball","path","response","rt","version"
NA,0,105,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/semen-zhuravlev-_XxH_mV8dnk-unsplash (1).jpg",NA,NA,1
NA,0,106,1,"body_parts",400,14000,0,"Stimuli/Experimental_stims/localizer/body_parts/sippakorn-yamkasikorn-32_sJlJa5gA-unsplash.jpg",NA,NA,1
NA,0,107,1,"objects",400,300,1,"Stimuli/Experimental_stims/localizer/objects/quino-al-8gWEAAXJjtI-unsplash.jpg",NA,NA,1
NA,0,108,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/oriento-maVIpNNtmlQ-unsplash.jpg",NA,NA,1
NA,0,109,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/chris-briggs-x9TCnxNBofE-unsplash.jpg",NA,NA,1
NA,0,110,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/saif71-com-VIKdvmGUhq8-unsplash.jpg",NA,NA,1
NA,0,111,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/nicolas-hippert-kfr_eSrR08M-unsplash.jpg",NA,NA,1
NA,0,112,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/adriano-pucciarelli-BE7yaZnZX6o-unsplash.jpg",NA,NA,1
NA,0,113,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/girl-with-red-hat-Xxg-r574pLE-unsplash.jpg",NA,NA,1
NA,0,114,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/mulyadi-tWp0VSlSdMI-unsplash.jpg",NA,NA,1
NA,0,115,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/yoann-siloine-_T4w3JDm6ug-unsplash.jpg",NA,NA,1
NA,0,116,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/designecologist-hvgd0ygXuQQ-unsplash.jpg",NA,NA,1
NA,0,117,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/namroud-gorguis-FZWivbri0Xk-unsplash.jpg",NA,NA,1
NA,0,118,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/andrew-petrov-TVJqDat4MAw-unsplash.jpg",NA,NA,1
NA,0,119,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/mockup-graphics-v_a3DWpOFc0-unsplash.jpg",NA,NA,1
NA,0,120,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/carlos-felipe-ramirez-mesa-HW7bfB3ERSQ-unsplash.jpg",NA,NA,1
NA,0,121,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/dario-mendez-hnJ2VNZzbns-unsplash.jpg",NA,NA,1
NA,0,122,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/mockup-graphics-aUkYaG12Dgs-unsplash.jpg",NA,NA,1
NA,0,123,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/sam-moghadam-khamseh-kvmdsTrGOBM-unsplash.jpg",NA,NA,1
NA,0,124,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/sam-moghadam-khamseh-L_7MQsHl_aU-unsplash.jpg",NA,NA,1
NA,0,125,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/adriano-pucciarelli-Jl3S1yM8gi8-unsplash.jpg",NA,NA,1
NA,0,126,1,"objects",400,14000,1,"Stimuli/Experimental_stims/localizer/objects/dario-mendez-WmF_XLF4-Rs-unsplash.jpg",NA,NA,1
NA,0,127,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/andres-sanz-uILhNE1VcwA-unsplash.jpg",NA,NA,1
NA,0,128,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/pascal-debrunner-1WQ5RZuH9xo-unsplash.jpg",NA,NA,1
NA,0,129,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/chris-holgersson-zshyCr6HGw0-unsplash.jpg",NA,NA,1
NA,0,130,1,"outdoor_scenes",400,300,1,"Stimuli/Experimental_stims/localizer/outdoor_scenes/antoine-beauvillain-qrPqGP-SG8w-unsplash.jpg",NA,NA,1
NA,0,131,1,"outdoor_scenes",400,300,0,"Stimuli/Experimental_stims/localizer/outdoor_scenes/neom-THlO6Mkf5uI-unsplash.jpg",NA,NA,1
