"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","age","PID","gender","rt","responses","view_history","repeat_instructions","key_press","response","index","stimulus_index","path","start_time_elapsed","left_chosen","chosen_stimulus","unchosen_stimulus","chosen_category","unchosen_category","chosen_rating","unchosen_rating","chosen_path","unchosen_path","no_response","pair_id","practice","scramble_screen_time","scramble_instructed_side","stim_type","iti","block","run","left_stimulus","right_stimulus","left_category","right_category","left_path","right_path","left_rating","right_rating","duration","onset","duration_time_elapsed","onset_time_elapsed","warning","trial_duration","scramble_acc","scramble_no_response"
"","deliberation_instructions","","instructions","53","26620","0.0-3.0-0.0-0.0","44","50477","1","3690","","[{""page_index"":0,""viewing_time"":1401},{""page_index"":1,""viewing_time"":211},{""page_index"":2,""viewing_time"":204},{""page_index"":3,""viewing_time"":434},{""page_index"":4,""viewing_time"":477},{""page_index"":5,""viewing_time"":457},{""page_index"":6,""viewing_time"":505}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","deliberation_comprehension_check","","survey-multi-choice","54","32243","0.0-3.0-0.0-1.0","44","50477","1","5618","{""Q0"":""True"",""Q1"":""True"",""Q2"":""Wait until an arrow comes up and then select the image the arrow is pointing at"",""Q3"":""Consider carefully and take your time (up to 3 seconds)"",""Q4"":""D""}","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","55","33162","0.0-3.0-1.0","44","50477","1","915","","","","68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","deliberation","","html-keyboard-response","56","34174","0.0-3.0-2.0-0.0","44","50477","1","null","","","","null","","0","","","33162","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","prac1","1","0","","original","1500","0","0","","","","","Stimuli/Practice_stims/Deliberation/anthony-delanoix-Q0-fOL2nqZc-unsplash.jpg","Stimuli/Practice_stims/Deliberation/becca-tapert-sY5RjMB1KkE-unsplash.jpg","","","1000","0","1012","0","","","",""
"","deliberation_no_response","","html-keyboard-response","57","34288","0.0-3.0-2.0-3.0-0.0","44","50477","1","null","","","","null","","0","","","34174","","","","","","","","","","1","","","","","","","0","","","","","","","","","","100","1000","114","1012","1","","",""
"","iti","","html-keyboard-response","58","34400","0.0-3.0-2.0-4.0","44","50477","1","null","","","","null","","0","","","34288","","","","","","","","","","","","","","","","","0","","","","","","","","","","100","1100","112","1126","","100","",""
"","deliberation","","html-keyboard-response","59","36910","0.0-3.0-4.0-0.0","44","50477","1","377","","","","68","","1","","","34400","","","","","","","","","","0","prac2","1","2500","left","scramble","2500","0","0","","","","","Stimuli/Practice_stims/Deliberation/scramble/scrambled_clay-banks-1KPfcPdbWFM-unsplash.jpg","Stimuli/Practice_stims/Deliberation/scramble/scrambled_melissa-keizer-sV4Pd8wq5_o-unsplash.jpg","","","2500","1200","2510","1238","","","",""
"","scramble_prompt","","html-keyboard-response","60","36919","0.0-3.0-4.0-1.0-0.0","44","50477","1","null","","","","null","","1","","","36910","NaN","NaN","NaN","NaN","NaN","","","NaN","NaN","","","","","","","","0","","","","","","","","","","-1500","3700","9","3748","","-1500","0","1"
"","deliberation_no_response","","html-keyboard-response","61","37029","0.0-3.0-4.0-3.0-0.0","44","50477","1","null","","","","null","","1","","","36919","","","","","","","","","","1","","","","","","","0","","","","","","","","","","100","2200","110","3757","1","","",""
"","iti","","html-keyboard-response","62","37142","0.0-3.0-4.0-4.0","44","50477","1","null","","","","null","","1","","","37029","","","","","","","","","","","","","","","","","0","","","","","","","","","","100","2300","113","3867","","100","",""
