"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","age","PID","gender","rt","responses","view_history","repeat_instructions","key_press","response","index","stimulus_index","path","run","task","isi","is_odd_ball","no_response","acc","duration","onset","pair_id","practice","scramble_screen_time","scramble_instructed_side","stim_type","iti","block","left_stimulus","right_stimulus","left_category","right_category","left_path","right_path","left_rating","right_rating","warning","response_ends_trial","trial_duration","scramble_acc","scramble_no_response","left_chosen","chosen_stimulus","unchosen_stimulus","chosen_category","unchosen_category","chosen_rating","unchosen_rating","chosen_path","unchosen_path","stimulus_id","item_id","outcome","response_rt","deliberation_reward_tally","choice_type","gain_left","left_item_id","right_item_id","chosen_left","old_pair","pair_type","old_response","pair_acc","reward_type","outcome_response","outcome_rt","outcome_acc","category","choice","deliberated_stim","old_rating","new_rating","total_reward_tally"
"","iti_final_decisions","","html-keyboard-response","2035","3484824","0.0-5.0-269.0-3.0","NaN","67183","","null","","","","null","","267","","","4","","","","","","0.1","14.299999999999965","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","final_decisions","","html-keyboard-response","2036","3484937","0.0-5.0-270.0-0.0","NaN","67183","","null","","","","null","","268","","","4","","","","1","","0.1","14.399999999999965","","0","","","","1800","4","34","24","body_parts","body_parts","Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg","Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg","50","50","","","","","","NaN","NaN","NaN","NaN","","","","","","","","","","","chosen","0","no_gain6","gain6","","","","","","","","","","","","","","",""
"","final_decisions_no_response","","html-keyboard-response","2037","3485052","0.0-5.0-270.0-2.0-0.0","NaN","67183","","null","","","","null","","268","","","4","","","","1","","0.1","14.499999999999964","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_final_decisions","","html-keyboard-response","2038","3485171","0.0-5.0-270.0-3.0","NaN","67183","","null","","","","null","","268","","","4","","","","","","0.1","14.599999999999964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","final_decisions","","html-keyboard-response","2039","3485287","0.0-5.0-271.0-0.0","NaN","67183","","null","","","","null","","269","","","4","","","","1","","0.1","14.699999999999964","","0","","","","2200","4","43","12","objects","faces","Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg","Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg","50","50","","","","","","NaN","NaN","NaN","NaN","","","","","","","","","","","unchosen","0","no_gain2","gain6","","","","","","","","","","","","","","",""
"","final_decisions_no_response","","html-keyboard-response","2040","3485399","0.0-5.0-271.0-2.0-0.0","NaN","67183","","null","","","","null","","269","","","4","","","","1","","0.1","14.799999999999963","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_final_decisions","","html-keyboard-response","2041","3485513","0.0-5.0-271.0-3.0","NaN","67183","","null","","","","null","","269","","","4","","","","","","0.1","14.899999999999963","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","final_decisions","","html-keyboard-response","2042","3485626","0.0-5.0-272.0-0.0","NaN","67183","","null","","","","null","","270","","","4","","","","1","","0.1","14.999999999999963","","0","","","","1400","4","31","12","body_parts","faces","Stimuli/Experimental_stims/body_parts/sincerely-media-VN6DbKajo5s-unsplash.jpg","Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg","50","50","","","","","","NaN","NaN","NaN","NaN","","","","","","","","","","","unchosen","0","no_gain5","gain6","","","","","","","","","","","","","","",""
"","final_decisions_no_response","","html-keyboard-response","2043","3485737","0.0-5.0-272.0-2.0-0.0","NaN","67183","","null","","","","null","","270","","","4","","","","1","","0.1","15.099999999999962","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_final_decisions","","html-keyboard-response","2044","3485846","0.0-5.0-272.0-3.0","NaN","67183","","null","","","","null","","270","","","4","","","","","","0.1","15.199999999999962","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
