"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","age","PID","gender","rt","responses","view_history","repeat_instructions","key_press","response","index","stimulus_index","path","start_time_elapsed","run","task","isi","is_odd_ball","no_response","acc","duration","onset","duration_time_elapsed","onset_time_elapsed","trial_duration","left_chosen","chosen_stimulus","unchosen_stimulus","chosen_category","unchosen_category","chosen_rating","unchosen_rating","chosen_path","unchosen_path","pair_id","practice","scramble_screen_time","scramble_instructed_side","stim_type","iti","block","left_stimulus","right_stimulus","left_category","right_category","left_path","right_path","left_rating","right_rating","warning","scramble_acc","missed_checkup","stimulus_id","item_id","outcome","response_rt","deliberation_reward_tally"
"","iti_localizer","","html-keyboard-response","237","285954","0.0-2.0-79.0-1.0","33","97001","female","null","","","","null","","77","","","285650","1","","","","","","300","91200","304","92060","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","238","286360","0.0-2.0-80.0-0.0","33","97001","female","206","","","","68","0","78","","Stimuli/Experimental_stims/localizer/body_parts/diana-polekhina-SwWjCbIIoFE-unsplash.jpg","285954","1","body_parts","","0","0","1","400","91500","406","92364","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","239","286666","0.0-2.0-80.0-1.0","33","97001","female","null","","","","null","","78","","","286360","1","","","","","","300","91900","306","92770","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","240","287083","0.0-2.0-81.0-0.0","33","97001","female","287","","","","68","0","79","","Stimuli/Experimental_stims/localizer/body_parts/ant-rozetsky-bXQd8JXx0vs-unsplash.jpg","286666","1","body_parts","","0","0","1","400","92200","417","93076","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","241","287388","0.0-2.0-81.0-1.0","33","97001","female","null","","","","null","","79","","","287083","1","","","","","","300","92600","305","93493","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","242","287794","0.0-2.0-82.0-0.0","33","97001","female","373","","","","68","0","80","","Stimuli/Experimental_stims/localizer/body_parts/callum-skelton-3KLMq7y46nA-unsplash.jpg","287388","1","body_parts","","0","0","1","400","92900","406","93798","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","243","288100","0.0-2.0-82.0-1.0","33","97001","female","null","","","","null","","80","","","287794","1","","","","","","300","93300","306","94204","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","244","288504","0.0-2.0-83.0-0.0","33","97001","female","365","","","","68","0","81","","Stimuli/Experimental_stims/localizer/body_parts/freestocks-qw9LFf5T790-unsplash.jpg","288100","1","body_parts","","0","0","1","400","93600","404","94510","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_localizer","","html-keyboard-response","245","288811","0.0-2.0-83.0-1.0","33","97001","female","null","","","","null","","81","","","288504","1","","","","","","300","94000","307","94914","300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","localizer","","html-keyboard-response","246","289216","0.0-2.0-84.0-0.0","33","97001","female","301","","","","68","0","82","","Stimuli/Experimental_stims/localizer/body_parts/carlos-henrique-NAOJKwZswbs-unsplash.jpg","288811","1","body_parts","","0","0","1","400","94300","405","95221","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
