,PID,trial,pair_id,stim_type,practice,run,block,left_category,right_category,left_stimulus,right_stimulus,left_path,right_path,left_rating,right_rating,iti,scramble_screen_time,scramble_instructed_side,scramble_acc,no_response,rt,left_chosen,chosen_stimulus,unchosen_stimulus,chosen_category,unchosen_category,chosen_path,unchosen_path,long_iti,simulation,version
70,,71,F,original,0,2,3,faces,body_parts,,,,,,,1200.0,,,,0,,,,,,,,,0.0,1,4
71,,72,J,scramble,0,2,3,faces,objects,,,,,,,2300.0,700.0,right,,0,,,,,,,,,0.0,1,4
72,,73,D,original,0,2,3,objects,faces,,,,,,,1400.0,,,,0,,,,,,,,,0.0,1,4
73,,74,B,original,0,2,3,outdoor_scenes,faces,,,,,,,2800.0,,,,0,,,,,,,,,1.0,1,4
74,,75,I,scramble,0,2,3,body_parts,outdoor_scenes,,,,,,,1300.0,1100.0,right,,0,,,,,,,,,0.0,1,4
75,,76,H,scramble,0,2,3,faces,outdoor_scenes,,,,,,,2300.0,1100.0,left,,0,,,,,,,,,0.0,1,4
76,,77,E,original,0,2,4,objects,body_parts,,,,,,,1900.0,,,,0,,,,,,,,,0.0,1,4
77,,78,A,scramble,0,2,4,outdoor_scenes,objects,,,,,,,1300.0,500.0,left,,0,,,,,,,,,0.0,1,4
78,,79,C,original,0,2,4,outdoor_scenes,body_parts,,,,,,,3000.0,,,,0,,,,,,,,,1.0,1,4
79,,80,H,scramble,0,2,4,faces,outdoor_scenes,,,,,,,1600.0,1500.0,left,,0,,,,,,,,,0.0,1,4
80,,81,J,original,0,2,4,faces,objects,,,,,,,2100.0,,,,0,,,,,,,,,0.0,1,4
81,,82,B,original,0,2,4,outdoor_scenes,faces,,,,,,,2400.0,,,,0,,,,,,,,,0.0,1,4
82,,83,F,scramble,0,2,4,faces,body_parts,,,,,,,1200.0,200.0,left,,0,,,,,,,,,0.0,1,4
83,,84,L,scramble,0,2,4,body_parts,faces,,,,,,,1000.0,500.0,right,,0,,,,,,,,,0.0,1,4
84,,85,L,original,0,2,4,body_parts,faces,,,,,,,2500.0,,,,0,,,,,,,,,0.0,1,4
85,,86,A,original,0,2,4,outdoor_scenes,objects,,,,,,,2800.0,,,,0,,,,,,,,,1.0,1,4
86,,87,B,scramble,0,2,4,outdoor_scenes,faces,,,,,,,2000.0,1000.0,left,,0,,,,,,,,,0.0,1,4
87,,88,G,original,0,2,4,objects,outdoor_scenes,,,,,,,1100.0,,,,0,,,,,,,,,0.0,1,4
88,,89,J,scramble,0,2,4,faces,objects,,,,,,,1800.0,1300.0,right,,0,,,,,,,,,0.0,1,4
89,,90,K,scramble,0,2,4,body_parts,objects,,,,,,,1600.0,100.0,right,,0,,,,,,,,,0.0,1,4
90,,91,D,original,0,2,4,objects,faces,,,,,,,1500.0,,,,0,,,,,,,,,0.0,1,4
91,,92,K,original,0,2,4,body_parts,objects,,,,,,,1500.0,,,,0,,,,,,,,,0.0,1,4
92,,93,D,scramble,0,2,4,objects,faces,,,,,,,4900.0,1500.0,right,,0,,,,,,,,,1.0,1,4
93,,94,I,scramble,0,2,4,body_parts,outdoor_scenes,,,,,,,2500.0,700.0,left,,0,,,,,,,,,0.0,1,4
94,,95,F,original,0,2,4,faces,body_parts,,,,,,,1100.0,,,,0,,,,,,,,,0.0,1,4
95,,96,E,scramble,0,2,4,objects,body_parts,,,,,,,1100.0,1800.0,right,,0,,,,,,,,,0.0,1,4
96,,97,C,scramble,0,2,4,outdoor_scenes,body_parts,,,,,,,1300.0,1000.0,right,,0,,,,,,,,,0.0,1,4
97,,98,I,original,0,2,4,body_parts,outdoor_scenes,,,,,,,2500.0,,,,0,,,,,,,,,0.0,1,4
98,,99,H,original,0,2,4,faces,outdoor_scenes,,,,,,,1800.0,,,,0,,,,,,,,,0.0,1,4
99,,100,G,scramble,0,2,4,objects,outdoor_scenes,,,,,,,2700.0,1100.0,left,,0,,,,,,,,,1.0,1,4
