,PID,practice,run,block,trial,pair_type,old_pair,chosen_left,pair_id,chosen_id,iti,left_stimulus,right_stimulus,left_path,right_path,pair_response,pair_acc,pair_rt,long_iti,simulation,version,left_category,right_category,pairs_rt,old_response,no_response
37,1,0,1,2,38,intact,1,1,G,G,1800,42,9,Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg,NaN,0,NaN,0,12,2,objects,outdoor_scenes,,NaN,1
38,1,0,1,2,39,recombined,0,1,,L,1200,29,6,Stimuli/Experimental_stims/body_parts/lucaxx-freire-CacZwMexYdk-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg,NaN,0,NaN,0,12,2,body_parts,outdoor_scenes,,NaN,1
39,1,0,1,2,40,intact,1,1,B,B,2500,7,19,Stimuli/Experimental_stims/outdoor_scenes/petr-vysohlid-9fqwGqGLUxc-unsplash.jpg,Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg,NaN,0,NaN,0,12,2,outdoor_scenes,faces,,NaN,1
40,1,0,1,2,41,intact,1,1,L,L,1300,29,16,Stimuli/Experimental_stims/body_parts/lucaxx-freire-CacZwMexYdk-unsplash.jpg,Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg,NaN,0,NaN,0,12,2,body_parts,faces,,NaN,1
41,1,0,1,2,42,recombined,0,0,,F,3000,36,13,Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg,Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg,NaN,0,NaN,1,12,2,objects,faces,,NaN,1
42,1,0,1,2,43,recombined,0,0,,C,1800,24,0,Stimuli/Experimental_stims/body_parts/callum-skelton-3KLMq7y46nA-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,NaN,0,NaN,0,12,2,body_parts,outdoor_scenes,,NaN,1
43,1,0,1,2,44,intact,1,0,K,K,1300,26,43,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,Stimuli/Experimental_stims/objects/jiangxulei1990-eIzzzwtkBjU-unsplash.jpg,NaN,0,NaN,0,12,2,body_parts,objects,,NaN,1
44,1,0,1,2,45,intact,1,1,A,A,1000,3,44,Stimuli/Experimental_stims/outdoor_scenes/henry-be-NLF6hTe4PAg-unsplash.jpg,Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg,NaN,0,NaN,0,12,2,outdoor_scenes,objects,,NaN,1
45,1,0,1,2,46,recombined,0,1,,D,2000,37,34,Stimuli/Experimental_stims/objects/alexander-andrews-VLGWE_SumrA-unsplash.jpg,Stimuli/Experimental_stims/body_parts/sincerely-media-VN6DbKajo5s-unsplash.jpg,NaN,0,NaN,0,12,2,objects,body_parts,,NaN,1
46,1,0,1,2,47,intact,1,1,H,H,1700,15,6,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg,NaN,0,NaN,0,12,2,faces,outdoor_scenes,,NaN,1
47,1,0,1,2,48,recombined,0,0,,H,1000,5,15,Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,NaN,0,NaN,0,12,2,outdoor_scenes,faces,,NaN,1
48,1,0,1,2,49,recombined,0,1,,G,1800,42,16,Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg,Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg,NaN,0,NaN,0,12,2,objects,faces,,NaN,1
49,1,0,1,2,50,intact,1,1,C,C,1300,0,34,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,Stimuli/Experimental_stims/body_parts/sincerely-media-VN6DbKajo5s-unsplash.jpg,NaN,0,NaN,0,12,2,outdoor_scenes,body_parts,,NaN,1
50,1,0,1,2,51,intact,1,1,F,F,3500,13,30,Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg,Stimuli/Experimental_stims/body_parts/lucrezia-carnelos-kn6QrWtnAtY-unsplash.jpg,NaN,0,NaN,1,12,2,faces,body_parts,,NaN,1
51,1,0,2,3,52,recombined,0,1,,L,2800,29,6,Stimuli/Experimental_stims/body_parts/lucaxx-freire-CacZwMexYdk-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg,NaN,0,NaN,1,37,2,body_parts,outdoor_scenes,712,1,0
52,1,0,2,3,53,intact,1,1,C,C,1100,0,34,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,Stimuli/Experimental_stims/body_parts/sincerely-media-VN6DbKajo5s-unsplash.jpg,NaN,1,NaN,0,37,2,outdoor_scenes,body_parts,473,1,0
53,1,0,2,3,54,recombined,0,1,,D,2400,37,34,Stimuli/Experimental_stims/objects/alexander-andrews-VLGWE_SumrA-unsplash.jpg,Stimuli/Experimental_stims/body_parts/sincerely-media-VN6DbKajo5s-unsplash.jpg,NaN,0,NaN,0,37,2,objects,body_parts,385,1,0
54,1,0,2,3,55,intact,1,1,G,G,1500,42,9,Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg,NaN,1,NaN,0,37,2,objects,outdoor_scenes,163,1,0
55,1,0,2,3,56,recombined,0,0,,F,1200,36,13,Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg,Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg,NaN,0,NaN,0,37,2,objects,faces,,NaN,1
56,1,0,2,3,57,recombined,0,0,,G,1900,16,42,Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg,Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg,NaN,0,NaN,0,37,2,faces,objects,,NaN,1
57,1,0,2,3,58,intact,1,1,H,H,2900,15,6,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg,NaN,0,NaN,1,37,2,faces,outdoor_scenes,,NaN,1
58,1,0,2,3,59,intact,1,1,B,B,1500,7,19,Stimuli/Experimental_stims/outdoor_scenes/petr-vysohlid-9fqwGqGLUxc-unsplash.jpg,Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg,NaN,0,NaN,0,37,2,outdoor_scenes,faces,,NaN,1
59,1,0,2,3,60,recombined,0,1,,B,2200,7,30,Stimuli/Experimental_stims/outdoor_scenes/petr-vysohlid-9fqwGqGLUxc-unsplash.jpg,Stimuli/Experimental_stims/body_parts/lucrezia-carnelos-kn6QrWtnAtY-unsplash.jpg,NaN,0,NaN,0,37,2,outdoor_scenes,body_parts,,NaN,1
60,1,0,2,3,61,intact,1,1,F,F,2400,13,30,Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg,Stimuli/Experimental_stims/body_parts/lucrezia-carnelos-kn6QrWtnAtY-unsplash.jpg,NaN,0,NaN,0,37,2,faces,body_parts,,NaN,1
61,1,0,2,3,62,recombined,0,1,,J,2500,17,44,Stimuli/Experimental_stims/faces/freddy-kearney-o-ioeoATbIM-unsplash.jpg,Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg,NaN,0,NaN,0,37,2,faces,objects,,NaN,1
62,1,0,2,3,63,intact,1,0,K,K,1700,26,43,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,Stimuli/Experimental_stims/objects/jiangxulei1990-eIzzzwtkBjU-unsplash.jpg,NaN,0,NaN,0,37,2,body_parts,objects,,NaN,1
63,1,0,2,3,64,recombined,0,0,,A,1400,26,3,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/henry-be-NLF6hTe4PAg-unsplash.jpg,NaN,0,NaN,0,37,2,body_parts,outdoor_scenes,,NaN,1
64,1,0,2,3,65,intact,1,1,L,L,3000,29,16,Stimuli/Experimental_stims/body_parts/lucaxx-freire-CacZwMexYdk-unsplash.jpg,Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg,NaN,0,NaN,1,37,2,body_parts,faces,,NaN,1
