,intact,intact_derivative,recombined,recombined_derivative,.5*intact + .5*recombined,intact - recombined,simulation,version,run,.5*recombined + .5*intact,recombined - intact
121,1.4963762150245972,2.7762056539826325,1.4997082023431731,2.76798271899332,1.2116339061593544,1.019208021622441,22,3,1,,
122,1.6929936434633386,3.098910401142731,1.6606706539007188,3.1371874543149523,,,23,3,1,1.0505090826165997,1.0061812219321107
123,1.9276469839261634,2.8680485852288875,1.8997470545239286,2.874837248045935,1.0380844063753034,1.017723049683633,24,3,1,,
124,1.3369130956406066,2.822327537138155,1.2965563704959933,2.8509137894549577,1.0690601037888603,1.010979128815961,25,3,1,,
125,1.4535598910731564,2.046538142125959,1.4810078545097245,2.021546390417011,1.0344195772502205,1.0256970145953639,26,3,1,,
126,1.8657345864046493,2.821495365137869,1.796657880595184,2.8801895994855604,,,27,3,1,1.122041596556851,1.0246157523257324
127,1.5256768280887703,2.968155666525272,1.6597105450155554,2.841206657031247,,,28,3,1,1.1630185929666808,1.077382039541113
128,1.8193446418563215,2.8713376278881,1.6926752798211517,2.9747878209207133,1.2155710150042944,1.1172110084072615,29,3,1,,
129,1.8081337168965026,3.0303051277414226,1.7251349695665608,3.111455669922695,,,30,3,1,1.0607642764251592,1.0541288094295225
130,1.9809577552935704,3.0127679860019843,1.6650536537025067,3.3069674399484987,,,31,3,1,1.1829826164467991,1.3536966209327113
131,1.4117953498026796,1.9803661224477058,1.4143243740263722,1.9758009900161329,1.1063994922678888,1.0007187179428991,32,3,1,,
132,1.7444321062395876,4.148585575279026,2.04790160083483,3.860904352782302,,,33,3,1,1.3248440215554511,1.1305708199669446
133,1.7188742306993194,2.9040955128247705,1.7985219191009136,2.8383756889232363,1.0525377442697708,1.0663262869308916,34,3,1,,
134,1.7883237310785647,3.0786050335452813,1.7219709012198985,3.1419027107259763,1.0570250735143059,1.0215728210492823,35,3,1,,
135,1.4281658404990132,2.123159466068065,1.4564982673358529,2.1027393496211233,,,36,3,1,1.2087629150682997,1.048325305396871
136,1.6867762066274454,3.331288782451026,1.612845746332707,3.407557734407044,,,37,3,1,1.1270537205038196,1.0297444130616402
137,1.57550505404551,2.5909277855776587,1.4272965218290017,2.742754699416466,,,38,3,1,1.2747601324222475,1.1012816659528075
138,1.611606358098398,2.4705366846294297,1.6136135621340764,2.490939578036687,1.0287811770272528,1.0203823758757438,39,3,1,,
